RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0,30.4,24.8,27.6,2,40,11.23,10.74,10.95
0,29.8,24.5,27.2,2,200,11.33,10.73,10.94
0,29.5,24,26.8,2,60,11.36,10.67,10.94
0,32,24,28,2,90,11.47,10.67,10.94
0,29.5,24.5,27,2,270,11.57,10.67,10.97
0,30,24.5,27.3,3,240,11.61,10.67,10.98
0.4,29.8,24.6,27.2,2,240,11.68,10.67,10.99
0,30.7,24.7,27.7,2,90,11.65,10.66,10.98
0,31.5,25.4,28.5,2,90,11.63,10.67,10.98
0,31.5,25.4,28.5,2,240,11.61,10.67,10.96
0,30.8,25,27.9,2,60,11.56,10.67,10.95
0,30.4,23.5,27,2,200,11.49,10.65,10.93
0,30.5,25.3,27.9,3,270,11.43,10.65,10.91
0,30.5,24.8,27.7,2,240,11.24,10.62,10.87
0,30.5,24.4,27.5,2,200,11.09,10.62,10.88
0,31.5,23.8,27.7,2,140,11.2,10.63,10.87
0,31.2,24,27.6,2,240,11.37,10.64,10.88
0,30,24.5,27.3,3,140,11.49,10.61,10.9
0,29.5,23.3,26.4,4,360,11.62,10.61,10.92
1,30.2,23,26.6,5,360,11.68,10.61,10.93
13.8,27.3,22.6,25,2,360,11.7,10.6,10.9
7.2,26.2,22.2,24.2,2,360,11.64,10.6,10.89
0,31,23.8,27.4,4,60,11.63,10.61,10.86
0,31.5,22.5,27,3,20,11.56,10.61,10.87
0,30.7,24.2,27.5,4,20,11.52,10.61,10.87
1,29.5,21.5,25.5,3,360,11.4,10.61,10.84
1.7,28,22,25,3,360,11.21,10.62,10.81
0,28.1,22,25,2,360,11,10.62,10.79
0,26.5,21.6,24,3,360,10.96,10.62,10.76
0,28.8,21.4,25.1,2,360,11.05,10.61,10.75
0.4,27,22,24.5,4,20,11.13,10.61,10.77
0,28.4,23.4,25.9,2,140,11.25,10.61,10.81
0,28,23,25.5,2,360,11.38,10.61,10.85
7,28,22.5,25.3,2,360,11.43,10.6,10.87
0.4,30.5,24,27.3,3,340,11.51,10.6,10.89
29.4,27.8,23.4,25.6,3,340,11.54,10.61,10.9
0,30.5,24,27.3,2,270,11.6,10.61,10.91
4.4,31,23.8,27.4,3,180,11.54,10.61,10.93
0,28.3,24.5,26.4,2,340,11.46,10.61,10.9
0,29.5,21.8,25.7,2,220,11.41,10.61,10.85
0,29.5,23,26.3,2,270,11.33,10.61,10.84
0,28.5,23.5,26,2,140,11.21,10.62,10.83
0,30.6,24.4,27.5,2,360,11.1,10.62,10.86
0,32.3,24.8,28.5,2,220,11.2,10.68,10.89
0,31.8,23.5,27.7,2,240,11.27,10.62,10.89
7.2,30.7,24.7,27.7,2,40,11.38,10.62,10.89
0,29.5,24.5,27,3,220,11.45,10.61,10.89
0,29.5,24.5,27,2,20,11.5,10.61,10.91
0,32,25,28.5,3,90,11.75,10.61,10.99
0,31,25.2,28.1,3,270,11.63,10.61,10.91
0,32.3,26,29.1,2,140,11.62,10.61,10.92
0,32.5,25,28.8,3,120,11.5,10.62,10.89
0,32.8,25,28.9,3,240,11.41,10.62,10.88
0,31.6,23.5,27.5,4,120,11.41,10.62,10.86
0,31.5,24.5,28,3,90,11.25,10.62,10.86
0,31.5,25,28.3,3,120,11.1,10.65,10.87
0,32.3,25.8,29,2,220,11.14,10.67,10.86
0,32,24.2,28.1,2,200,11.13,10.62,10.82
0,32,24,28,3,200,11.68,10.62,10.97
0,32.8,24.2,28.5,3,90,11.23,10.62,10.86
0,32.8,25,28.9,3,20,11.31,10.61,10.88
1,32.6,24.7,28.7,3,90,11.38,10.61,10.89
0.8,29.2,22.2,25.7,3,360,11.43,10.61,10.88
2.6,31.6,24.7,28.2,3,20,11.5,10.61,10.92
0,32.2,26,29.1,2,270,11.55,10.61,10.93
0,31.7,25.5,28.6,3,200,11.49,10.62,10.93
0,31,26,28.5,3,200,11.49,10.62,10.93
0,32.5,24.5,28.5,2,360,11.37,10.62,10.91
1,30.7,25.5,28.1,3,270,11.36,10.62,10.88
0,33.5,26,29.8,2,20,11.23,10.62,10.87
0,34,25.8,29.9,3,140,11.19,10.62,10.86
0,32.5,25.6,29,2,220,11.28,10.62,10.9
0.7,31.5,24.5,28,3,300,11.33,10.62,10.9
0,31.5,25,28.3,3,240,11.41,10.62,10.92
0,30.9,24.5,27.7,2,270,11.47,10.61,10.94
0,31.5,26,28.8,2,270,11.55,10.61,10.98
0,33.5,26,29.8,4,340,11.56,10.62,10.98
0,32.5,26.3,29.4,3,360,11.53,10.62,10.95
9.4,31.8,26,28.9,2,200,11.51,10.62,10.93
0,30,25,27.5,3,220,11.4,10.62,10.9
0,30.6,26,28.3,3,270,11.31,10.62,10.87
0,30.5,25.5,28,3,180,11.23,10.62,10.87
0,31,25.5,28.3,2,180,11.18,10.62,10.89
0,30.5,26.5,28.5,3,180,11.25,10.62,10.9
0,30.5,26,28.3,4,360,11.22,10.61,10.86
0,31.4,25.5,28.5,2,20,11.26,10.62,10.87
7.4,30.5,24,27.3,3,40,11.3,10.62,10.88
0,33.6,25.5,29.6,3,120,11.3,10.62,10.88
0,31.5,26.2,28.9,3,180,11.23,10.61,10.88
0.6,33.5,26,29.8,2,240,11.27,10.61,10.9
