RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0,30.4,24.8,27.6,2,40,12.19,12.14,12.16
0,29.8,24.5,27.2,2,200,12.18,12.12,12.14
0,29.5,24,26.8,2,60,12.18,12.09,12.14
0,32,24,28,2,90,12.16,12.07,12.12
0,29.5,24.5,27,2,270,12.14,12.04,12.09
0,30,24.5,27.3,3,240,12.14,12.01,12.07
0.4,29.8,24.6,27.2,2,240,12.13,11.99,12.05
0,30.7,24.7,27.7,2,90,12.11,11.98,12.03
0,31.5,25.4,28.5,2,90,12.09,11.95,12.01
0,31.5,25.4,28.5,2,240,12.08,11.92,11.98
0,30.8,25,27.9,2,60,12.06,11.92,11.97
0,30.4,23.5,27,2,200,12.03,11.89,11.95
0,30.5,25.3,27.9,3,270,11.99,11.87,11.93
0,30.5,24.8,27.7,2,240,11.96,11.86,11.91
0,30.5,24.4,27.5,2,200,11.92,11.86,11.89
0,31.5,23.8,27.7,2,140,11.93,11.84,11.87
0,31.2,24,27.6,2,240,11.92,11.8,11.85
0,30,24.5,27.3,3,140,11.93,11.78,11.84
0,29.5,23.3,26.4,4,360,11.92,11.74,11.8
1,30.2,23,26.6,5,360,11.91,11.71,11.79
13.8,27.3,22.6,25,2,360,11.91,11.68,11.76
7.2,26.2,22.2,24.2,2,360,11.95,11.7,11.8
0,31,23.8,27.4,4,60,11.92,11.74,11.82
0,31.5,22.5,27,3,20,11.92,11.73,11.79
0,30.7,24.2,27.5,4,20,11.88,11.7,11.77
1,29.5,21.5,25.5,3,360,11.85,11.7,11.76
1.7,28,22,25,3,360,11.78,11.69,11.73
0,28.1,22,25,2,360,11.77,11.71,11.74
0,26.5,21.6,24,3,360,11.74,11.68,11.71
0,28.8,21.4,25.1,2,360,11.75,11.66,11.7
0.4,27,22,24.5,4,20,11.74,11.62,11.66
0,28.4,23.4,25.9,2,140,11.74,11.62,11.67
0,28,23,25.5,2,360,11.75,11.59,11.65
7,28,22.5,25.3,2,360,11.74,11.58,11.65
0.4,30.5,24,27.3,3,340,11.79,11.58,11.67
29.4,27.8,23.4,25.6,3,340,11.78,11.58,11.67
0,30.5,24,27.3,2,270,11.8,11.6,11.67
4.4,31,23.8,27.4,3,180,11.79,11.61,11.68
0,28.3,24.5,26.4,2,340,11.84,11.67,11.77
0,29.5,21.8,25.7,2,220,11.82,11.63,11.71
0,29.5,23,26.3,2,270,11.76,11.64,11.68
0,28.5,23.5,26,2,140,11.71,11.61,11.65
0,30.6,24.4,27.5,2,360,11.68,11.6,11.64
0,32.3,24.8,28.5,2,220,11.71,11.61,11.64
0,31.8,23.5,27.7,2,240,11.68,11.58,11.62
7.2,30.7,24.7,27.7,2,40,11.73,11.55,11.62
0,29.5,24.5,27,3,220,11.71,11.55,11.62
0,29.5,24.5,27,2,20,11.69,11.51,11.59
0,32,25,28.5,3,90,11.69,11.47,11.56
0,31,25.2,28.1,3,270,11.68,11.45,11.55
0,32.3,26,29.1,2,140,11.66,11.45,11.53
0,32.5,25,28.8,3,120,11.64,11.43,11.53
0,32.8,25,28.9,3,240,11.62,11.42,11.51
0,31.6,23.5,27.5,4,120,11.6,11.44,11.5
0,31.5,24.5,28,3,90,11.56,11.03,11.44
0,31.5,25,28.3,3,120,11.55,11.42,11.47
0,32.3,25.8,29,2,220,11.52,11.41,11.45
0,32,24.2,28.1,2,200,11.5,11.37,11.44
0,32,24,28,3,200,11.48,11.36,11.41
0,32.8,24.2,28.5,3,90,11.48,11.32,11.39
0,32.8,25,28.9,3,20,11.46,11.31,11.38
1,32.6,24.7,28.7,3,90,11.48,11.27,11.37
