RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0,30.4,24.8,27.6,2,40,11.42,11.14,11.26
0,29.8,24.5,27.2,2,200,11.49,11.12,11.24
0,29.5,24,26.8,2,60,11.54,11.07,11.25
0,32,24,28,2,90,11.58,11.01,11.23
0,29.5,24.5,27,2,270,11.62,10.95,11.22
0,30,24.5,27.3,3,240,11.65,10.93,11.22
0.4,29.8,24.6,27.2,2,240,11.69,10.9,11.21
0,30.7,24.7,27.7,2,90,11.67,10.9,11.21
0,31.5,25.4,28.5,2,90,11.65,10.88,11.19
0,31.5,25.4,28.5,2,240,11.62,10.85,11.16
0,30.8,25,27.9,2,60,11.6,10.87,11.16
0,30.4,23.5,27,2,200,11.55,10.87,11.15
0,30.5,25.3,27.9,3,270,11.49,10.9,11.15
0,30.5,24.8,27.7,2,240,11.38,10.91,11.13
0,30.5,24.4,27.5,2,200,11.27,10.94,11.13
0,31.5,23.8,27.7,2,140,11.34,10.96,11.12
0,31.2,24,27.6,2,240,11.46,10.97,11.13
0,30,24.5,27.3,3,140,11.54,10.89,11.13
0,29.5,23.3,26.4,4,360,11.63,10.77,11.1
1,30.2,23,26.6,5,360,11.68,10.7,11.07
13.8,27.3,22.6,25,2,360,11.68,10.66,11.04
7.2,26.2,22.2,24.2,2,360,11.66,10.71,11.08
0,31,23.8,27.4,4,60,11.64,10.7,11.05
0,31.5,22.5,27,3,20,11.62,10.73,11.06
0,30.7,24.2,27.5,4,20,11.55,10.78,11.06
1,29.5,21.5,25.5,3,360,11.45,10.79,11.05
1.7,28,22,25,3,360,11.3,10.83,11.02
0,28.1,22,25,2,360,11.14,10.87,11.02
0,26.5,21.6,24,3,360,11.11,10.87,10.99
0,28.8,21.4,25.1,2,360,11.19,10.86,10.97
0.4,27,22,24.5,4,20,11.94,10.76,11.11
0,28.4,23.4,25.9,2,140,11.32,10.74,10.97
0,28,23,25.5,2,360,11.41,10.7,10.98
7,28,22.5,25.3,2,360,11.45,10.68,11
0.4,30.5,24,27.3,3,340,11.52,10.68,11.02
29.4,27.8,23.4,25.6,3,340,11.56,10.69,11.07
0,30.5,24,27.3,2,270,11.58,10.7,11.05
